Latitude,Longitude,Time,Date,Number of Sats,GPS Speed (Kn),GPS True Heading,GPS Magnetic Variation,HDOP,C Magnetic Heading,C True Heading,Pitch Angle,Roll Angle,C Inside Temp (c),DFS Depth (m),DTB Height (m),Total Water Column (m),Batt Percent,Power Watts,Watt-Hours,Batt Volts,Batt Ampers,Batt State,Time to Empty,Current Step,Dist To Next (m),Next Speed (kn),Vehicle Speed (kn),Motor Speed CMD,Next Heading,Next Long,Next Lat,Next Depth (m),Depth Goal (m),Vehicle State,Error State,Distance to Track (m),Fin Pitch R,Fin Pitch L,Pitch Goal,Fin Yaw T,Fin Yaw B,Yaw Goal,Fin Roll,DVL-Depth (m),DVL -Altitude (m),DVL -Water Column (m),DVL-FixType,DVL-FixQuality,DVL-Temperature,Conductivity (mmhos/cm),Temperature (c),Salinity (ppt),Sound Speed (m/s),Date m/d/y   ,Time hh:mm:ss,Temp C,SpCond mS/cm,Sal ppt,Depth feet,pH,pH mV,Turbid+ NTU,Chl ug/L,BGA-PC cells/mL,ODOsat %,ODO mg/L,Battery volts,ROSEM Command Type
25.912781,-80.13788417,43:39.1,2/4/22,4,0.428,39.24,-7.155757217,3.06,92.1,86.48,1.19,-3.84,27.2,0,2.57,2.57,91,22,504.4,16.3,-1.3,D,1546.7,0,4.746,1,0,128,156.22,-80.13786503,25.91274194,0,0,1,N,3.04858,64,64,11,5,5,266.5862,0,9999.99,2.58,2.707,2,9,26.6,0,26.60000038,33.65,1536.64614,2/4/22,16:18:47,22.56,51.18,33.65,1.195,7.75,-43.7,-3.5,-4,-2976,91,6.48,12.5,
25.9127845,-80.13788383,43:40.2,2/4/22,4,0.666,39.24,-7.155757217,3.06,92.5,86.85,1.07,-4.51,27.2,0,2.58,2.58,91,22,504.4,16.3,-1.3,D,1535.3,0,5.092,1,0,128,158.33,-80.13786503,25.91274194,0,0,1,N,3.04858,63,63,11,250,250,263.97,0,9999.99,2.59,2.717,2,9,26.5,0,26.5,35.08,1537.94412,2/4/22,16:18:48,22.61,53.11,35.08,1.188,7.75,-43.7,-4.3,-5.7,-1727,90.6,6.39,12.5,
25.91278316,-80.1378841,43:41.2,2/4/22,4,0.893,39.24,-7.155757217,3.06,91.9,86.29,1.91,-3.25,27.3,0.02,2.58,2.6,91,22,504.4,16.3,-1.3,D,1535.3,1,16.385,1,0.04,160,103.24,-80.13772464,25.9127494,0,0,1,N,4.688158,68,68,11,234,234,112.9978,0,9999.99,2.59,2.717,2,9,26.5,0,26.5,33.47,1536.22527,2/4/22,16:18:49,22.59,50.94,33.47,1.178,7.75,-43.7,-4.6,-2.9,-2310,90.5,6.45,12.3,
25.91278284,-80.13788136,43:42.2,2/4/22,4,0.16,39.24,-7.155757217,3.06,93.3,87.6,0.3,-4.68,27.3,0.03,2.59,2.61,91,22,504.4,16.3,-1.3,D,1535.3,1,16.109,1,0.07,160,103.35,-80.13772464,25.9127494,0,0,1,N,4.636254,59,59,11,230,230,113.3416,0,9999.99,2.6,2.727,2,9,26.5,0,26.5,34.1,1536.8992,2/4/22,16:18:50,22.57,51.79,34.1,1.193,7.75,-43.7,-3.6,1.9,-1194,90.2,6.4,12.5,
25.91278368,-80.13788032,43:43.2,2/4/22,4,0.723,39.24,-7.155757217,3.06,92.8,87.13,1.88,-6.62,27.3,0.02,2.58,2.6,91,24,504.4,16.3,-1.4,D,1416.3,1,16.03,1,0.18,160,103.76,-80.13772464,25.9127494,0,0,1,N,4.723865,68,68,11,235,235,114.0106,0,9999.99,2.59,2.717,2,9,26.5,0,26.5,35.63,1538.53389,2/4/22,16:18:51,22.63,53.85,35.63,1.218,7.75,-43.7,-5.1,1.4,-143,89.9,6.32,12.4,
25.91278401,-80.13787764,43:44.3,2/4/22,4,0.82,39.24,-7.155757217,3.06,95.2,89.39,1.24,2.53,27.3,0.02,2.6,2.62,91,28,504.4,16.3,-1.7,D,1197.4,1,15.779,1,0.31,160,104.12,-80.13772464,25.9127494,0,0,1,N,4.744678,64,64,11,228,228,114.7384,0,9999.99,2.61,2.737,2,9,26.4,0,26.39999962,33.02,1535.51429,2/4/22,16:18:52,22.61,50.32,33.02,1.209,7.75,-43.7,-4.1,-1.8,-3018,89.6,6.4,12.6,
25.91277978,-80.13787271,43:45.3,2/4/22,4,0.402,39.24,-7.155757217,3.06,98.1,92.1,1.35,-5.26,27.3,0.02,2.66,2.68,91,28,504.4,16.3,-1.7,D,1197.4,1,15.19,1,0.47,160,102.85,-80.13772464,25.9127494,0,0,1,N,4.248868,64,64,11,212,212,113.2442,0,9999.99,2.67,2.797,2,9,26.4,0,26.39999962,33.99,1536.55075,2/4/22,16:18:53,22.58,51.64,33.99,1.185,7.75,-43.7,-4.2,-2.8,-5584,89.3,6.35,12.4,
25.91277536,-80.13786849,43:46.3,2/4/22,4,0.587,39.24,-7.155757217,3.06,101.3,95.08,1.46,-2.24,27.3,0.02,2.72,2.73,91,28,504.4,16.3,-1.7,D,1197.4,1,14.674,1,0.62,160,101.35,-80.13772464,25.9127494,0,0,1,N,3.737795,66,66,11,192,192,111.2806,0,9999.99,2.73,2.857,2,9,26.4,0,26.39999962,36.31,1539.03146,2/4/22,16:18:54,22.54,54.76,36.31,1.204,7.75,-43.7,-4,1.4,-1407,89,6.24,12.5,
25.9127745,-80.13786259,43:47.3,2/4/22,4,1.431,39.24,-7.155757217,3.05,104.2,97.78,1.8,-3,27.3,0.02,2.76,2.77,91,28,504.3,16.3,-1.7,D,1187.1,1,14.076,1,0.74,160,101.44,-80.13772464,25.9127494,0,0,1,N,3.60901,68,68,11,180,180,110.9109,0,9999.99,2.77,2.897,2,9,26.3,0,26.29999924,35.78,1538.23484,2/4/22,16:18:55,22.5,54.05,35.78,1.187,7.75,-43.8,-3.8,-2,-3947,88.7,6.24,12.5,
25.91276985,-80.13785559,43:48.3,2/4/22,4,1.186,39.24,-7.155757217,3.05,107.6,100.94,0.99,-2.82,27.3,0.01,2.8,2.8,91,28,504.3,16.3,-1.7,D,1187.1,1,13.293,1,0.86,160,99.85,-80.13772464,25.9127494,0,0,1,N,3.054653,63,63,11,153,153,107.5183,0,9999.99,2.81,2.937,2,9,26.3,0,26.29999924,35.66,1538.1061,2/4/22,16:18:56,22.49,53.89,35.66,1.197,7.75,-43.9,-3.8,0.4,-3197,88.4,6.23,12.5,
